URL,Titulo,Enlace,Copete,Seccion
https://www.eltribuno.com/salta,"
Declaró un perito y dijo que el cuerpo estaba sobre la cama y había  rastros de sangre  en toda la casa
",https://www.eltribuno.com//salta/nota/2023-5-17-14-6-0-declaro-un-perito-y-dijo-que-el-cuerpo-estababa-sobre-la-cama-y-que-habia-rastros-de-sangre-en-casi-toda-la-casa,"17 DE Mayo 2023 - 14:22
                                El juicio se desarrolla con tribunal colegiado integrado por los jueces de la Sala VI, Mónica Mukdsi (presidenta), José Luis Riera y Guillermo Pereyra (vocales).",Crimen de Rosa Sulca
https://www.eltribuno.com/salta,"
El Gobierno envió al Congreso el proyecto de blanqueo de capitales
",https://www.eltribuno.com//salta/nota/2023-5-17-14-56-0-el-gobierno-envio-al-congreso-el-proyecto-de-blanqueo-de-capitales,"17 DE Mayo 2023 - 14:56
                                Es en el contexto del acuerdo de intercambio de información fiscal con EEUU. Está dirigido a personas humanas, sucesiones indivisas y empresas. Podrán exteriorizarse tenencias en efectivo, bienes muebles e inmuebles y activos financieros",Nacionales
https://www.eltribuno.com/salta,"
Sergio Massa recibió al gobernador Gustavo Sáenz tras su victoria en Salta 
",https://www.eltribuno.com//salta/nota/2023-5-17-14-39-0-sergio-massa-recibio-al-gobernador-gustavo-saenz-tras-su-victoria-en-salta,"17 DE Mayo 2023 - 16:38
                                El ministro y el mandatario salteño firmaron convenios para obras.",Salta
https://www.eltribuno.com/salta,"
Hipertensión arterial: proponen terapias más simples para reducir los altos índices de abandono de los tratamientos
",https://www.eltribuno.com//salta/nota/2023-5-17-16-56-0-hipertension-arterial-proponen-terapias-mas-simples-para-reducir-los-altos-indices-de-abandono-de-los-tratamientos,"17 DE Mayo 2023 - 17:19
                                En la Argentina, uno de cada tres adultos es hipertenso, pero el 40% no lo sabe. La mayoría de los pacientes diagnosticados debe tomar dos o más drogas y la mitad deja de hacerlo después del primer año. Cuáles son los riesgos de no controlar este trastorno y las opciones para mejorar la adherencia a los tratamientos.",día de la hipertensión  arterial
https://www.eltribuno.com/salta,"
Alberto Fernández le respondió a Cristina Kirchner por la relación del Gobierno con el FMI
",https://www.eltribuno.com//salta/nota/2023-5-17-15-36-0-alberto-fernandez-le-respondio-a-cristina-kirchner-por-la-relacion-del-gobierno-con-el-fmi,"17 DE Mayo 2023 - 16:12
                                El mandatario apuntó contra la vice, tras las críticas que realizó ayer en su carta de renuncia a su candidatura presidencial.",Nacionales
https://www.eltribuno.com/salta,"
VIDEO. La clásica y extraña celebración que los hinchas del City usaron frente al Real Madrid
",https://www.eltribuno.com//salta/nota/2023-5-17-18-3-0-video-la-clasica-y-extrana-celebracion-que-los-hinchas-del-city-usaron-frente-al-real-madrid,"17 DE Mayo 2023 - 18:39
                                En el partido en el que el City venció al Real Madrid por las semis de la Champions, la hinchada del equipo de Manchester realizó su usual festejo de espaldas a la cancha. ¿Cómo surgió esta cábala?",Manchester City 
https://www.eltribuno.com/salta,"
A 22 años del crimen, condenan al cuarto policía que  violó y asesinó a Natalia Melmann
",https://www.eltribuno.com//salta/nota/2023-5-17-18-4-0-a-22-anos-del-crimen-condenan-al-cuarto-policia-que-violo-y-asesino-a-natalia-melmann,"17 DE Mayo 2023 - 18:02
                                Ricardo Panadero fue encontrado culpable de secuestrar, abusar y asesinar a la adolescente de 15 años en 2001.",crimen
https://www.eltribuno.com/salta,"
Johnny Depp lloró tras recibir una ovación de pie durante 7 minutos en el Festival de Cannes
",https://www.eltribuno.com//salta/nota/2023-5-17-17-31-0-johnny-depp-lloro-tras-recibir-una-ovacion-de-pie-durante-7-minutos-en-el-festival-de-cannes,"17 DE Mayo 2023 - 17:35
                                El actor protagoniza “Jeanne du Barry”, la película en la que interpreta a Luis XV.",Cine
https://www.eltribuno.com/salta,"
Se llevó a cabo la primera reunión de la paritaria docente 
",https://www.eltribuno.com//salta/nota/2023-5-17-12-56-0-se-llevo-a-cabo-la-primera-reunion-de-la-paritaria-docente,"17 DE Mayo 2023 - 13:49
                                Participaron los gremios ADP, UDA, AMET, SADOP, ATE y UPCN. Trascendió que SITEPSA no concurrió.",Salta
https://www.eltribuno.com/salta,"
Docentes autoconvocados realizan una marcha por las calles de la ciudad 
",https://www.eltribuno.com//salta/nota/2023-5-17-11-37-0-una-nutrida-columna-de-docentes-realizo-una-marcha-por-las-calles-de-la-ciudad-y-complico-el-transito,"17 DE Mayo 2023 - 13:32
                                Reclaman volver a negociar paritarias sin intermediación del gremio. Se dirigen a Grand Bourg.",Salta
